# Table of selected background quantitites
# All densities are mutiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ur             13:(.)rho_crit           14:gr.fac. D             15:gr.fac. f             16:(.)rho_smg            17:(.)p_smg              18:M*^2_smg              19:kineticity_smg        20:braiding_smg          21:tensor_excess_smg     22:Mpl_running_smg       23:c_s^2                 24:kin (D)            
       1.000000000000e+14       7.558503632224e-26       4.634785000235e-09       2.157545946648e+22       1.416504534299e+04       1.416504534299e-10       1.416504534299e+18       2.675958164815e-09       2.751560535470e+44       2.451390603497e+33       1.339408137477e+34       1.903443976270e+44       4.655004511898e+44       5.370564074879e-18       2.000000000017e+00       3.492914505273e-08      -3.492914505273e-08       1.000000000000e+00       1.500713692691e-51       3.751784231729e-54      -3.751784231729e-54      -3.751784231729e-54       7.499011394903e-03       1.500713692691e-51 
       9.930486593843e+13       7.664693049753e-26       4.667526809499e-09       2.127654528182e+22       1.416504534299e+04       1.426420066039e-10       1.406657928797e+18       2.694689871968e-09       2.675846458098e+44       2.400623788821e+33       1.311669806183e+34       1.851067333040e+44       4.526913791294e+44       5.446015129567e-18       2.000000000016e+00       3.492914505273e-08      -3.492914505273e-08       1.000000000000e+00       1.543176948494e-51       3.857942371236e-54      -3.857942371236e-54      -3.857942371236e-54       7.500260312080e-03       1.543176948494e-51 
       9.861456399050e+13       7.772374322409e-26       4.700268618762e-09       2.098177236191e+22       1.416504534299e+04       1.436405006501e-10       1.396879770404e+18       2.713552701072e-09       2.602215788102e+44       2.350908324129e+33       1.284505918930e+34       1.800131926217e+44       4.402347714471e+44       5.522526196123e-18       2.000000000014e+00       3.492914505273e-08      -3.492914505273e-08       1.000000000000e+00       1.586841718019e-51       3.967104295047e-54      -3.967104295047e-54      -3.967104295047e-54       7.499931453358e-03       1.586841718019e-51 
       9.792906056653e+13       7.881568409264e-26       4.733010428026e-09       2.069108333218e+22       1.416504534299e+04       1.446459841547e-10       1.387169583321e+18       2.732547569979e-09       2.530611196824e+44       2.302222436600e+33       1.257904579330e+34       1.750598097619e+44       4.281209294592e+44       5.600112166653e-18       2.000000000013e+00       3.492914505273e-08      -3.492914505273e-08       1.000000000000e+00       1.631741998545e-51       4.079354996362e-54      -4.079354996362e-54      -4.079354996362e-54       7.500018046817e-03       1.631741998545e-51 
       9.724832231036e+13       7.992296563846e-26       4.765752237290e-09       2.040442161294e+22       1.416504534299e+04       1.456585060438e-10       1.377526895056e+18       2.751675402969e-09       2.460976933110e+44       2.254544804314e+33       1.231854137361e+34       1.702427280332e+44       4.163404213587e+44       5.678788142483e-18       2.000000000012e+00       3.492914505273e-08      -3.492914505273e-08       1.000000000000e+00       1.677912749319e-51       4.194781873298e-54      -4.194781873298e-54      -4.194781873298e-54       7.499995245453e-03       1.677912749319e-51 
       9.657231609767e+13       8.104580338272e-26       4.800313035958e-09       2.012173140839e+22       1.416504534299e+04       1.466781155861e-10       1.367951236401e+18       2.770937130790e-09       2.393258779894e+44       2.207854546917e+33       1.206343184268e+34       1.655581968676e+44       4.048840748713e+44       5.758569437097e-18       2.000000000011e+00       3.492914505273e-08      -3.492914505273e-08       1.000000000000e+00       1.725389918773e-51       4.313474796932e-54      -4.313474796932e-54      -4.313474796932e-54       7.500001249396e-03       1.725389918773e-51 
       9.590100903443e+13       8.218441587444e-26       4.833054845221e-09       1.984295769572e+22       1.416504534299e+04       1.477048623952e-10       1.358442141411e+18       2.790333690705e-09       2.327404011992e+44       2.162131216471e+33       1.181360547562e+34       1.610025689010e+44       3.937429701143e+44       5.839471579119e-18       2.000000000010e+00       3.492914505273e-08      -3.492914505273e-08       1.000000000000e+00       1.774210472512e-51       4.435526181279e-54      -4.435526181279e-54      -4.435526181279e-54       7.499999668467e-03       1.774210472512e-51 
       9.523436845525e+13       8.333902473306e-26       4.867615643889e-09       1.956804621446e+22       1.416504534299e+04       1.487387964319e-10       1.348999147379e+18       2.809866026540e-09       2.263361355047e+44       2.117354788506e+33       1.156895286131e+34       1.565722971329e+44       3.829084326512e+44       5.921510315335e-18       2.000000000009e+00       3.492914505273e-08      -3.492914505273e-08       1.000000000000e+00       1.824412422097e-51       4.561031055243e-54      -4.561031055243e-54      -4.561031055243e-54       7.500000084749e-03       1.824412422097e-51 
       9.457236192179e+13       8.450985469153e-26       4.900357453153e-09       1.929694345585e+22       1.416504534299e+04       1.497799680070e-10       1.339621794816e+18       2.829535088726e-09       2.201080945604e+44       2.073505653244e+33       1.132936685446e+34       1.522639321645e+44       3.723720267383e+44       6.004701613755e-18       2.000000000007e+00       3.492914505273e-08      -3.492914505273e-08       1.000000000000e+00       1.876034854642e-51       4.690087136605e-54      -4.690087136605e-54      -4.690087136605e-54       7.499999975135e-03       1.876034854642e-51 
       9.391495722125e+13       8.569713364009e-26       4.934918251820e-09       1.902959665248e+22       1.416504534299e+04       1.508284277830e-10       1.330309627424e+18       2.849341834347e-09       2.140514292293e+44       2.030564607016e+33       1.109474252871e+34       1.480741195137e+44       3.621255487561e+44       6.089061666727e-18       2.000000000006e+00       3.492914505273e-08      -3.492914505273e-08       1.000000000000e+00       1.929117963243e-51       4.822794908107e-54      -4.822794908107e-54      -4.822794908107e-54       7.500000003998e-03       1.929117963243e-51 
